企業ID,企業名,指標ID（編集しないでください）,指標名（英語表記）※実際の開示は英語表記が多少異なる可能性あり,指標名,単位,データソース,連結 or 単体,開示データ,2019年度,2020年度,2021年度,2022年度,2023年度,2024年度,2025年度,メモ
1,Allianz SE,types_and_number_of_complaints_that_were_raised,Number and types of grievances filed,提起された苦情の種類と件数,件,"Allianz_Group_Sustainability_Report_2022-web p.128, 155",連結,TRUE,,,,0,,,,
1,Allianz SE,types_and_number_of_disciplinary_action,Number and types of disciplinary actions,懲戒処分の種類と件数,件,Allianz_Group_Sustainability_Report_2021-web p.63; Allianz_Group_Sustainability_Report_2022-web p.126,連結,TRUE,,,0,0,,,,
1,Allianz SE,percentage_of_employees_who_received_ethics_and_compliance_training,Percentage of employees trained in ethics and compliance,倫理・コンプライアンス研修を受けた従業員の割合,%,Allianz_Group_Sustainability_Report_2022-web p.126; Allianz_Group_Sustainability_Report_2023-web p.130,連結,TRUE,,,,84.0,94,,,
1,Allianz SE,dispatched_to_be_resolved_by_third_parties,Number of disputes referred to third parties,第三者に解決を委ねられた係争,件,en-Allianz-SE-Annual-Report-2021 p.85; en-allianz-se-annual-report-2024 p.67,連結,TRUE,,,26,,,1,,
1,Allianz SE,the_number_of_matters_pointed_out_in_external_audits_the_type_the_source_of_the_occurrence_and_the_response_to_them,"Number, type, and source of issues identified in external audits, and actions taken",外部監査で指摘された事項の数、種類および発生源と、それらへの対応,件,"en-Own-Funds-Report-2020 p.4; Allianz_Group_Sustainability_Report_2021-web p.111; en-allianz-se-annual-report-2024 p.84, 85; en-allianz-se-annual-report-2025 p.8, 49",連結・単体混在,TRUE,,0,0,,,2,0,
1,Allianz SE,total_labor_cost,Total workforce cost,総労働力コスト,EUR thousand,en-Allianz-SE-Annual-Report-2020 p.88; en-Allianz-SE-Annual-Report-2021 p.87; en-Allianz-SE-Annual-Report-2022 p.94; en-allianz-se-annual-report-2024 p.70; en-allianz-se-annual-report-2025 p.36,連結・単体混在,TRUE,,385156,447737,479655,,540347,616973,
1,Allianz SE,external_labor_cost,External workforce cost,外部労働力コスト,,,,,,,,,,,,
1,Allianz SE,remuneration_ratio_for_specific_jobs_for_total_salary,Ratio of specific role compensation to total payroll,総給与に対する特定職の報酬割合,%,,,,,,,,,,,
1,Allianz SE,total_employment_cost,Total employment cost,総雇用コスト,EUR thousand,en-Allianz-SE-Annual-Report-2020 p.88; en-Allianz-SE-Annual-Report-2022 p.94; en-Allianz-SE-Annual-Report-2023 p.124; en-allianz-se-annual-report-2024 p.70,連結,TRUE,,385156,,479655,521635,540347,,
1,Allianz SE,one_person_recruitment_cost_new_graduate_mid_career,Cost per hire (graduates),1人当り採用コスト（新卒）,,,,,,,,,,,,
1,Allianz SE,one_person_recruitment_cost_mid_career,Cost per hire (experienced hires),1人当り採用コスト（中途）,,,,,,,,,,,,
1,Allianz SE,recruitment_cost,Total recruitment cost,採用コスト,,,,,,,,,,,,
1,Allianz SE,costs_associated_with_retirement,Cost of turnover,離職に伴うコスト,,,,,,,,,,,,
1,Allianz SE,employee_ratio_under_15_years_old,Percentage of employees under age 15,従業員比率（15歳未満）,%,,,,,,,,,,,
1,Allianz SE,employee_ratio_15_19_years_old,Percentage of employees aged 15–19,従業員比率（15歳～19歳）,%,,,,,,,,,,,
1,Allianz SE,employee_ratio_20_29_years_old,Percentage of employees aged 20–29,従業員比率（20歳～29歳）,%,,,,,,,,,,,
1,Allianz SE,employee_ratio_30_39_years_old,Percentage of employees aged 30–39,従業員比率（30歳～39歳）,%,,,,,,,,,,,
1,Allianz SE,employee_ratio_40_49_years_old,Percentage of employees aged 40–49,従業員比率（40歳～49歳）,%,,,,,,,,,,,
1,Allianz SE,employee_ratio_50_59_years_old,Percentage of employees aged 50–59,従業員比率（50歳～59歳）,%,,,,,,,,,,,
1,Allianz SE,employee_ratio_60_years_old,Percentage of employees aged 60 and above,従業員比率（60歳以上）,%,Allianz_Group_Sustainability_Report_2020-web p.127; Allianz_Group_Sustainability_Report_2021-web p.39,連結,TRUE,,0.7,0.6,,,,,
1,Allianz SE,male_employee_ratio,Percentage of male employees,男性従業員比率,%,Allianz_Group_Sustainability_Report_2020-web p.126; Allianz_Group_Sustainability_Report_2021-web p.38; Allianz_Group_Sustainability_Report_2022-web p.58; Allianz_Group_Sustainability_Report_2023-web p.86,連結,TRUE,,48.7,48.4,48.0,47.71,,,
1,Allianz SE,female_employee_ratio,Percentage of female employees,女性従業員比率,%,Allianz_Group_Sustainability_Report_2020-web p.126; Allianz_Group_Sustainability_Report_2021-web p.38; Allianz_Group_Sustainability_Report_2022-web p.58; Allianz_Group_Sustainability_Report_2023-web p.86,連結,TRUE,,51.3,51.6,52.0,52.27,,,
1,Allianz SE,employee_survey_score_trust_in_leadership,Employee survey score (trust in leadership),従業員サーベイスコア（リーダーシップに対する信頼）,点,"Allianz_Group_Sustainability_Report_2020-web p.53, 61, 129; Allianz_Group_Sustainability_Report_2021-web p.37, 41, 46; Allianz_Group_Sustainability_Report_2022-web p.60, 65; Allianz_Group_Sustainability_Report_2023-web p.85, 90",連結,TRUE,,78,78,79,81,,,2020年: 連結優先（unknownを除外）
